modelCode,modelDescription,stock,availability,totalQuantity,fundRequired,totalAllocation,OrderVAlue,dealer_dealerId,vectorReq,fst,black,red,yellow,green,rational,snopAllocation,svopAllocation
M1001,Honda CBR500R,20,18,38,12000,9000,11000,D001,Yes,10,5,3,2,1,N/A,15,12
M1002,Yamaha R15,15,14,29,9500,7000,8500,D001,Yes,8,4,2,1,1,N/A,10,8
M1003,Suzuki GSX-S750,12,10,22,8000,6000,7500,D001,Yes,7,3,2,1,1,N/A,8,6
M1004,KTM Duke 390,18,16,34,11000,8500,10000,D001,Yes,9,5,3,2,1,N/A,12,10
M1005,Bajaj Pulsar 220,25,22,47,15000,11000,14000,D001,Yes,12,6,4,3,2,N/A,18,14
M1006,Honda CB650R,14,13,27,9000,7000,8200,D001,Yes,8,4,2,1,1,N/A,10,9
M1007,Yamaha MT-07,19,17,36,11500,8800,10200,D001,Yes,10,5,3,2,1,N/A,14,12
M1008,Suzuki Hayabusa,21,19,40,12500,9500,11200,D001,Yes,11,6,4,2,1,N/A,16,13
M1009,KTM RC 390,16,14,30,10000,7500,8800,D001,Yes,9,5,3,2,1,N/A,12,10
M1010,Bajaj Dominar 400,22,20,42,13000,10000,11500,D001,Yes,12,6,4,3,2,N/A,17,14
M2001,Honda Activa 6G,30,28,58,20000,15000,18000,D002,Yes,15,8,5,3,2,N/A,20,16
M2002,Yamaha FZ-S,25,23,48,17000,13000,15500,D002,Yes,13,7,4,3,2,N/A,18,14
M2003,Suzuki Access 125,28,26,54,18500,14000,16500,D002,Yes,14,7,4,3,2,N/A,19,15
M2004,KTM RC 200,32,29,61,21000,16000,19000,D002,Yes,16,8,5,4,3,N/A,22,17
M2005,Bajaj Avenger 220,24,21,45,16500,12500,15000,D002,Yes,13,7,4,3,2,N/A,17,13
M2006,Honda Dio,26,24,50,17500,13500,16000,D002,Yes,14,7,4,3,2,N/A,18,14
M2007,Yamaha Ray ZR,29,26,55,19000,14500,17000,D002,Yes,15,8,5,3,2,N/A,20,15
M2008,Suzuki Burgman Street,31,28,59,20500,15500,18500,D002,Yes,16,8,5,4,3,N/A,21,16
M2009,KTM Duke 125,27,25,52,18000,14000,16500,D002,Yes,14,7,4,3,2,N/A,19,14
